text,label
lemot sering tersendat tidak bisa,negative
bantu banget transaksi apa terima kasih,positive
sangat bagus biaya admin keren,positive
bagus bantu terima kasih,positive
transaksi jelek sering error,negative
payah lemot ganggu tidak bisa transfer,negative
bagus tapi kadang lemot ok,neutral
alhamdulillah puas layan terima kasih,positive
saldo tidak bisa masuk payah,negative
kadang biaya kirim kenapa bagus,positive
mantap dana terima kasih amanah,positive
bagus bantu pokok,negative
mudah bantu,positive
mantap,positive
bagus,negative
lemot,negative
susah bantu,negative
saldo ku tidak masuk,negative
tipu bilang cspakai ya kalau kalauik kalauik jangan siti nurhaliza lahir batin cs sopanudh ku yaa ku sebar luas,negative
transaksi,positive
keren,neutral
jelek saldo kurang transaksi,negative
layan lambatketika kendalamasalahmenghubungi admin respon lambat banget,positive
bagus tapi kadang lemmot,positive
memang ampasmau bayar qrissistem sibuk ampas apkheran gunain,negative
gila kacau akun retas cs dana bantu playanan lambat email respon buat kesel sekali respon menunggu antri gila hhabis jujur takut menyimpan dafet lapor jamin tidak,negative
lihat saldo muncul muncul kirim kirim,positive
maaf kurang bintang nyasetiap kirim rekening baca gagallama buruk nanti naikin bintang terimakasihy,negative
wooo bayar kartu kredit kena lambat cz kliiian siall saldooo woy transaksi geje masuk tidak gagal tidak tapi saldo tahan sampai besok pagi jelas saya lapor wajib kalian tipu rakyat,negative
lemot tidak,negative
ku bintang karena bagus orang sibuk tolol,negative
tanggal kirim luar kontak,negative
kenapa tidak buka,negative
lupa tidak masuk,negative
tidak ktp terus pakai ktp teteh kartu mmh terus tidak,negative
tidak masuk rekening kecewa,negative
akhirakhir tutup kendala buka lihat riwayat masuk lanjut masuk handphone tutup,negative
,neutral
tolong bantuannay akun kena mengirim saldo sisa akun kenal qris,negative
myn,neutral
baik,positive
gagal transaksi kayak antri tiket menontonlagi rameanjiiirrrr,negative
ok,positive
praktis,positive
puas,positive
andal,positive
ssgat bagus,negative
bantu,negative
batu,neutral
mantap tidak ribet kirim kirim,neutral
lambat layan,positive
parahhh kesini lemot gila benar,negative
jelek kesini tersendat masuk saja loding banget,negative
beli izin nama malaing tipu buruk,negative
kecewa,neutral
mudah cepat,positive
bguss,neutral
lambat sedikit,negative
nya,neutral
tolong bantuanya buka riwayat transaksi,positive
bermnafaatbisa menyimpan tabungany,neutral
coba dahulu,positive
tolong baik kenyakn erortransaksi tunda,neutral
mantap bngtdn mmbantu,positive
mantaaaapapp,neutral
cepat ringkas,negative
sumpah custumer tanggung hati hati uanh biar hilang enggak solusi sekali ngembaliin telepon karyawan cs keddngaran mengomong heboh pecattt karyawann kekgitu ingat bicara atasannyaa pecatttt cs,neutral
terimakasih transaksi online tabung,positive
bantu bgtsip,negative
iya kecewa kenapa tidak sistem taii,negative
muas bantu,positive
tidak,negative
beli kuota bayar tagih bayar,negative
selow,neutral
pagi kirim syarat ganti nomer malam info kirim email info sampai pakai,negative
akun beku,neutral
manfap,neutral
ok banget,positive
daftar gagal coba,negative
puas bantu dengan,positive
saya kasih saya tidak ubdite,negative
oke oke tidak pitur splater,negative
unduh paylater,neutral
mudah terima kasih,positive
akun ku hilang sudah tidak bisa saldo situ benerin,negative
masuk transaksi hasil lapor cstelponemail tanggap sudaj minggu tunggu,positive
okbanget,neutral
eror,negative
kesini menarik uang tidak,negative
paylater pinjam biar saing,neutral
verifikasi akun susah banget coba gagal,negative
bantutransaksi biaya,negative
isi minggu tidak komplain sabar sdikit tidak sudah isi terang proses terusjagn jadi penipusaya isi etoll byar trans jawadari lebaran tidak kabary,negative
transaksi cepat,positive
mudah,positive
bantusibuk,negative
kirim,positive
mohon bantu kirim otp email,positive
bantu saya transaksi,neutral
