 saldo masuk aman mudah transfer	positive
mudah akses praktis	positive
opsional	neutral
isi ulang saldo tidak masuk payah	negative
tukang maling proses lama banget aduh ampun aplikasi jelek	negative
eror padahal tolong transfer susah banget kecewa yang tidak guna hadeh	negative
mudah praktis biaya admin	positive
sampah tidak bisa transfer	negative
"mantap bagus "	positive
lebaran	neutral
susah transfer error terus saldo hilang	negative
saldo hilang tolong cs lama sekali respon	negative
cacat tidak bisa transfer	negative
susah premium verfikasi email payah	negative
puas banget	positive
sulit transfer sering error tidak bisa akses	negative
saldo hilang tiba tiba keluar sendiri error parah	negative
buruk komplain hilang ditranfer masuk rekening tuju kecewa percaya keluh tolong guna komplain tindak lanjut cs lama respon	negative
mikum	neutral
sulit transfer error ngelag gitu aneh banget payah	negative
isi saldo susah lama	negative
suka error aneh banget	negative
kesel aplikasi error terus tiba tiba saldo hilang	negative
saldo hilang tidak bisa transfer	negative
rekening	neutral
dana	neutral
suka tolong baik terima kasih dana	positive
internet jelek langsung tidak bisa transfer aneh payah	negative
kacau katidak masuk akun tidak jlas	negative
odok	neutral
woi saya kena balikin uang ribet saya tulis kayak begitu ribet banget gajadi hamdeh ku hilang	negative
buruk banget susah lupa pw juga sudah kali klik tidak lanjut sampai besok juga tidak mncul busuk benar tidak bisa ambil gimana coba sama maling tidak sulit hidup orang dibalas akhirat	negative
tolong daftar bisanomor handphone daftar akun mana terblokirsoalnya daftar paket nomor handphone langsung akun pakaipadahal nomor daftar tolong bantu	negative
buruk mengirim enggk pakai biayamohon maaf uni install	negative
alhamdulillah buka terima kasih dana	positive
beli pulsa kena begal proteksi layar otomatis bayar lupa hapus centang proteksi layar rugi kes jebak fitur tidak hilang beli pulsa terima kasih sering error lagi aneh banget	negative
mantap ok	positive
responlaporan salah kirim sistem	negative
guna banget sering transfer pakai ini	positive
transaksi saldo kurang saldo hilang tidak bisa akses	negative
aplikasi bagus baik mudah	positive
tidak bisa guna sulit transfer	negative
mudah transfer	positive
saldo tidak masuk tuju notif tidak masuk saldo hilang	negative
oke banget	positive
mudah banget transfer mudah praktis amanah top dehe	positive
tonglong	neutral
puas praktis	positive
respon cepat aman tingkat terima kasih bantu banget	positive
ampas transfer dikit tidak masuk baca proses enggak jelas ampass	negative
buruk tidak masuk saldo hilang	negative
bagus semua mudah transfer gampang praktis	positive
pakai wifi ganggu aneh tidak bisa akses uang	negative
ngek ngek	neutral
transfer cepat praktis mudah banget	positive
gagal jelek bos	negative
unduh transaksi mudah aman	positive
tolong dikembaliin tanggung jawab saldo saya hilang tidak bisa transfer	negative
